"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 13:14:12 CST 2021","Wed Jan 13 13:14:14 CST 2021","2015","","","","","","User browses ""Women's Evening dresses""",""
"passed","Wed Jan 13 13:14:05 CST 2021","Wed Jan 13 13:14:12 CST 2021","7119","","","","","","MyStore Set up",""
"passed","Wed Jan 13 13:14:34 CST 2021","Wed Jan 13 13:14:39 CST 2021","4844","","","","","","Shipping Details - Step 4/5 Checkout process to complete purchase",""
"passed","Wed Jan 13 13:14:23 CST 2021","Wed Jan 13 13:14:32 CST 2021","8330","","","","","","User Sign in - Step 2/5 Checkout process to complete purchase",""
"passed","Wed Jan 13 13:14:14 CST 2021","Wed Jan 13 13:14:19 CST 2021","4831","","","","","","User adds Item to cart and proceeds to checkout",""
"failed","Wed Jan 13 13:14:42 CST 2021","Wed Jan 13 13:14:48 CST 2021","5975","","","","","","Confirm Order",""
"passed","Wed Jan 13 13:14:14 CST 2021","Wed Jan 13 13:14:14 CST 2021","6","","","","","","User shares an item in Social Media",""
"passed","Wed Jan 13 13:14:39 CST 2021","Wed Jan 13 13:14:42 CST 2021","2999","","","","","","Choose a payment method - Step 5/5 Checkout process to complete purchase",""
"passed","Wed Jan 13 13:14:32 CST 2021","Wed Jan 13 13:14:34 CST 2021","2682","","","","","","Verify Address - Step 3/5 Checkout process to complete purchase",""
"passed","Wed Jan 13 13:14:19 CST 2021","Wed Jan 13 13:14:23 CST 2021","4101","","","","","","SHOPPING-CART SUMMARY - Step 1/5 Checkout process to complete purchase",""
